"","F1_cnx","F1_merlot","F1_oercommons","quality_interval"
"[0.10,0.15)",0.343,0.390,0.000,3
"[0.30,0.35)",0.410,0.353,0.149,7
"[0.35,0.40)",0.545,0.605,0.428,8
"[0.40,0.45)",0.533,0.415,0.262,9
"[0.45,0.50)",0.418,0.492,0.269,10
"[0.50,0.55)",0.626,0.535,0.239,11
"[0.55,0.60)",0.600,0.536,0.309,12
"[0.60,0.65)",0.651,0.499,0.272,13
"[0.65,0.70)",0.645,0.584,0.174,14
"[0.70,0.75)",0.632,0.577,0.240,15
"[0.75,0.80)",0.688,0.646,0.334,16
"[0.80,0.85)",0.698,0.573,0.398,17
